BHA - PUBLIC HOUSING DEMOGRAPHICS AS OF 12/6/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev #,Development,HHTotal,MembTotal,Age0-5,Age6-13,Age14-15,Age16-17,Age18-21,Age22-24,Age25-50,Age51-61,Age62+,White,Black,Hispanic,AmIndian,Asian,NatHawPacOth,$0-$4.9K,$5K-$9.9K,$10K-$14.9K,$15K-$19.9K,$20K-$24.9K,$25-$29.9K,$30K+,Average,Median
101,Charlestown,"1,071","2,625",327,518,132,102,161,86,792,286,221,"1,179","1,171","1,102",26,238,12,145,244,280,129,88,51,134,"$16,274","$11,201"
104,Lenox Street,279,524,65,72,15,21,21,13,157,80,80,236,265,286,2,21,0,41,61,89,37,13,16,22,"$14,010","$10,582"
106,Cathedral/Ruth Barkley Apts.,406,964,76,187,39,39,68,30,269,119,137,467,408,479,6,79,4,35,79,112,58,41,22,59,"$18,162","$13,258"
107,Mildred C. Hailey (Heath Street),215,634,43,118,47,42,60,24,176,53,71,262,349,305,0,23,0,29,31,43,43,18,8,43,"$19,739","$15,620"
111,Whittier Street,194,480,41,96,19,18,36,26,145,47,52,238,222,265,7,13,0,31,40,41,25,16,9,32,"$17,522","$12,031"
114,Alice Taylor,353,810,79,123,36,31,69,50,218,103,101,389,377,425,9,33,2,50,76,92,45,19,25,46,"$16,478","$11,328"
119,Mildred C. Hailey (Bromley Park),478,"1,229",112,251,64,66,93,48,346,128,121,577,646,679,2,4,0,62,101,136,64,37,26,52,"$15,871","$11,979"
123,Mary Ellen McCormack,994,"1,989",219,300,62,73,119,78,570,321,247,"1,048",640,802,12,287,2,148,205,278,123,70,48,124,"$15,444","$11,184"
124,Old Colony,447,"1,083",114,203,36,49,76,53,316,154,82,498,478,435,7,99,4,54,86,104,66,39,29,68,"$17,963","$13,796"
158,West Newton,125,203,16,17,5,4,13,3,59,53,33,84,105,70,0,14,0,20,19,39,14,9,9,15,"$15,373","$11,028"
174,Rutland,4,12,0,3,1,1,2,0,3,1,1,9,3,9,0,0,0,0,0,0,1,0,0,3,"$28,956","$31,739"
182,Commonwealth,275,731,67,118,31,35,60,32,209,84,95,310,338,253,0,83,0,34,49,54,34,27,19,58,"$21,911","$15,033"
189,Franklin Field,338,957,89,214,61,51,89,37,272,80,64,417,525,526,2,13,0,41,57,73,51,29,32,56,"$18,396","$14,825"
191,Mildred C. Hailey (Bromley Park Elderly),51,71,2,0,1,0,1,1,10,15,41,47,24,45,0,0,0,2,12,23,2,5,4,3,"$14,942","$10,409"
193,Highland Park,25,57,4,9,4,3,6,2,21,4,4,20,37,28,0,0,0,7,2,4,3,2,0,7,"$22,899","$12,929"
501,West Broadway,481,"1,248",100,216,77,60,113,58,329,147,148,700,405,600,3,122,14,113,83,94,60,35,31,65,"$15,525","$11,429"
502,Camden Street,68,132,5,27,3,7,8,3,34,19,26,77,50,85,1,4,0,21,10,20,6,3,2,6,"$12,489","$10,200"
504,Faneuil,253,693,77,148,25,35,54,44,192,75,43,396,215,384,5,77,0,51,65,49,25,13,15,35,"$14,908","$10,338"
505,Fairmount,197,534,52,110,38,33,47,13,156,49,36,321,201,339,5,3,3,31,44,42,27,11,13,28,"$16,102","$11,530"
507,Archdale,280,768,88,169,35,35,71,34,221,64,51,430,321,517,0,15,2,65,61,61,32,15,12,34,"$14,002","$10,342"
508,Orient Heights,236,648,60,130,32,30,59,33,186,72,46,376,195,381,6,63,9,57,61,47,19,14,18,20,"$13,274","$9,964"
510,Gallivan Boulevard,246,700,81,160,37,40,63,22,196,56,45,321,349,392,2,25,2,48,59,48,22,12,16,41,"$16,202","$10,582"
512,South Street,131,292,20,60,11,13,24,10,87,35,32,179,108,194,0,4,1,25,36,31,11,12,4,12,"$13,709","$10,342"
601,Franklin Field Family,40,75,4,11,3,4,5,3,17,18,10,44,30,57,1,0,0,7,10,13,2,1,0,7,"$14,460","$10,376"
756,BHA Condos,134,368,46,65,21,17,33,15,101,40,30,161,176,167,3,26,1,20,27,26,21,7,8,25,"$17,391","$12,947"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family Totals,"7,321","17,827","1,787","3,325",835,809,"1,351",718,"5,082","2,103","1,817","8,786","7,638","8,825",99,"1,246",56,"1,137","1,518","1,799",920,536,417,995,"$16,880","$11,328"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Pond Street,41,44,0,0,0,0,0,0,1,6,37,29,14,16,0,1,0,0,8,24,2,3,3,1,"$13,699","$10,409"
227,Annapolis Street,55,67,0,1,0,0,0,0,4,12,50,23,24,15,1,19,0,6,15,24,10,0,0,0,"$10,463","$10,342"
228,Ashmont Street,53,62,0,0,0,0,0,0,0,11,40,18,27,12,0,17,0,5,16,20,7,3,1,1,"$12,328","$10,342"
229,Holgate Apartments,80,98,0,1,2,1,0,0,14,13,67,26,70,37,0,2,0,6,15,42,9,1,2,5,"$13,244","$10,409"
230,Foley Apartments,95,106,0,0,0,0,0,1,6,19,80,93,10,3,1,2,0,3,14,39,16,9,4,10,"$16,803","$13,476"
232,Groveland,45,47,0,0,0,0,0,0,5,8,34,8,38,4,1,0,0,5,12,19,5,1,3,0,"$11,446","$10,342"
234,Davison,46,49,0,0,0,0,0,0,6,7,36,19,30,17,0,0,0,9,7,23,5,2,0,0,"$10,350","$10,342"
235,Washington Street,79,103,0,3,0,0,1,0,11,15,73,53,29,15,0,21,0,11,7,42,10,3,4,2,"$12,975","$10,342"
236,West Ninth Street,83,96,0,0,0,1,0,0,7,18,70,83,4,10,1,8,0,2,16,34,13,5,3,10,"$16,393","$12,161"
237,J J Carroll,62,82,0,0,1,1,1,3,10,13,53,49,21,8,0,12,0,2,13,22,16,4,2,3,"$14,246","$11,370"
238,Meade Apartments,39,46,0,1,0,0,0,0,2,6,37,8,36,6,0,2,0,3,6,22,3,4,1,0,"$12,181","$10,409"
240,MLK Towers,100,111,0,1,0,0,2,0,8,20,80,32,79,34,0,0,0,11,24,45,10,8,1,1,"$11,437","$10,376"
241,Eva White,102,132,0,1,1,0,2,0,17,14,97,37,15,16,2,74,4,4,12,56,23,3,2,2,"$12,994","$10,496"
